School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Stanford,13,16.4,18.8,33.1,57,177.9,0.9,34.1,104.5,3.1,0.9,67.2,282.4,4.2,9,6.5,1.4,16.8,6.2,53.8,0.3,0.9,1.2,PAC-12,2014
Oregon,15,23.6,23.4,38.7,60.4,264.3,1.4,39.1,165.4,4.2,1.5,77.9,429.7,5.5,12.6,8.8,1.9,23.3,6.1,53.9,1.4,0.9,2.3,PAC-12,2014
Washington,14,24.8,24.5,38.5,63.6,286.6,1.9,37.8,124.1,3.3,1,76.3,410.6,5.4,13.4,7.2,1.9,22.6,6.1,52.7,1.1,0.9,2.1,PAC-12,2014
Utah,13,24.9,20.5,34.6,59.3,246.6,1.8,39,146.8,3.8,0.9,73.6,393.5,5.3,9.9,8.7,2.2,20.8,5.8,50.9,0.7,0.9,1.6,PAC-12,2014
USC,13,25.2,24.8,42.2,58.8,274.5,1.5,34.9,133.5,3.8,1.5,77.1,408,5.3,12.4,7.7,3.2,23.2,6.2,54.8,0.7,1.1,1.8,PAC-12,2014
Arizona State,13,27.9,20.7,34.8,59.4,259.7,1.7,39.3,157.4,4,1.3,74.2,417.1,5.6,11.2,7.7,1.2,20.1,7,61.2,1,1.1,2.1,PAC-12,2014
UCLA,13,28.1,23.5,38.2,61.6,250.6,1.7,38.8,147.9,3.8,1.5,77.1,398.5,5.2,11.6,8.5,2.5,22.7,5.7,51.1,0.4,0.8,1.2,PAC-12,2014
Arizona,14,28.2,24.9,38.1,65.4,281.2,2,41.4,169.9,4.1,1.4,79.6,451.1,5.7,13.4,8.6,2.1,24.1,8.9,77.6,0.9,0.9,1.9,PAC-12,2014
Oregon State,12,31.6,21.3,36.3,58.9,248.1,1.7,34.3,158.3,4.6,2,70.6,406.3,5.8,11.1,8.3,2.6,22,7.2,66.2,0.6,0.9,1.5,PAC-12,2014
Washington State,12,38.6,23,35.8,64.3,296.6,2.8,35.8,145.7,4.1,1.5,71.6,442.3,6.2,11.7,7.3,2.3,21.3,7.9,69.9,0.4,0.3,0.7,PAC-12,2014
Colorado,12,39,20.3,33.9,59.7,255.4,2.9,36.4,204.8,5.6,1.8,70.3,460.2,6.5,10.8,9,2.7,22.4,7.2,68.8,0.7,0.3,0.9,PAC-12,2014
California,12,39.8,29.7,45.3,65.6,366.7,3.5,36.3,145.1,4,1.6,81.6,511.8,6.3,16.9,7.9,2.8,27.7,8,79.5,0.4,1,1.4,PAC-12,2014
Clemson,13,16.7,14.9,29.8,50,157.4,0.9,34.8,103.4,3,0.8,64.7,260.8,4,6.2,6.6,1.4,14.2,6.1,46.2,0.9,0.9,1.8,ACC,2014
Virginia Tech,13,20.2,14.1,29.5,47.7,199,1,37.2,144.8,3.9,1.2,66.8,343.8,5.1,8.1,7.3,1.2,16.6,7,59.1,0.8,0.9,1.7,ACC,2014
Boston College,13,21.3,20.3,32.5,62.4,229.8,1.5,30.6,93.8,3.1,1.1,63.2,323.5,5.1,10.4,5.9,1,17.3,5.8,44.9,0.4,0.7,1.1,ACC,2014
Duke,13,21.8,18.1,32.4,55.8,206.8,1.1,43.4,192.9,4.4,1.5,75.8,399.7,5.3,9.1,11.7,1.2,21.9,6.8,60.4,0.8,0.8,1.6,ACC,2014
Louisville,13,21.8,17,31.5,53.9,199.6,1.1,33.4,109.9,3.3,0.9,64.9,309.5,4.8,8.5,5.7,1.2,15.3,5,43.6,0.3,2,2.3,ACC,2014
Virginia,12,24.1,18.2,32.9,55.2,232.5,1.6,35.9,120.7,3.4,0.9,68.8,353.2,5.1,9.8,6.9,2.1,18.8,7.3,59.3,1.2,1.3,2.4,ACC,2014
Miami (FL),13,24.3,17.6,30.5,57.7,192.2,1.1,38.3,137.5,3.6,1.6,68.8,329.6,4.8,8.4,8.5,2.2,19.2,5.5,49.7,1,0.8,1.8,ACC,2014
Syracuse,12,24.3,18.8,28.8,65.2,209.9,1.6,41.1,139.3,3.4,0.8,69.8,349.2,5,10,8.3,1.7,20,6.6,56,1,0.7,1.7,ACC,2014
Florida State,14,25.6,17.7,31.1,57,226.8,1.6,40.9,170.1,4.2,1.5,72,396.9,5.5,9.4,10.4,1.3,21.1,5.5,48.9,0.9,1,1.9,ACC,2014
Georgia Tech,14,25.7,20.1,32,62.9,243.7,1.4,33.1,167.6,5.1,1.7,65.1,411.3,6.3,11.4,8.9,1,21.4,5.4,44,0.8,1.3,2.1,ACC,2014
Pitt,13,26.3,15.3,28.6,53.5,198.9,1.3,35.8,160.8,4.5,2,64.4,359.8,5.6,8.6,9.1,1.2,18.9,6,48.8,0.3,0.8,1.1,ACC,2014
Wake Forest,12,26.4,17.6,29,60.6,186.6,1,41.8,182.7,4.4,1.7,70.8,369.3,5.2,7.8,9.5,1.9,19.3,5.7,45.2,1.1,0.5,1.6,ACC,2014
North Carolina State,13,27,17.4,31.2,55.8,204.7,1.5,40.1,168.4,4.2,1.6,71.2,373.1,5.2,8.9,10.6,1.2,20.7,5.2,45.8,0.8,0.8,1.5,ACC,2014
North Carolina,13,39,17.7,30.2,58.7,257.4,2.4,46.1,240.5,5.2,2.5,76.2,497.8,6.5,10.7,12,2,24.7,6.2,49.7,0.8,0.9,1.8,ACC,2014
TCU,13,19,16.6,34.2,48.5,233,1.3,39.1,108.8,2.8,0.7,73.3,341.8,4.7,9.2,6.6,1,16.8,5.5,50,1.1,2,3.1,BIG-12,2014
Kansas State,13,23.2,21,33.8,62.2,229,1.5,33.8,140.3,4.1,1.3,67.6,369.3,5.5,11.8,7.5,0.8,20.2,6.7,60.2,0.5,1.2,1.6,BIG-12,2014
Texas,13,23.8,19,32.2,58.9,184.2,1,42.2,164.3,3.9,1.3,74.5,348.5,4.7,8.6,9.4,1.3,19.3,5.5,50.4,0.5,1.2,1.7,BIG-12,2014
Baylor,13,25.5,19.2,35.1,54.6,264.2,1.8,37.3,117.7,3.2,1.3,72.4,381.8,5.3,9.8,6.5,3.3,19.7,6.8,66.6,1,1,2,BIG-12,2014
Oklahoma,13,25.9,22.1,39.2,56.3,276.2,1.8,35.2,106.4,3,1.2,74.5,382.6,5.1,11.9,6.6,1.8,20.3,5.9,47.2,0.5,0.9,1.5,BIG-12,2014
West Virginia,13,27.6,18.5,35,53,231.2,1.4,38.6,168.2,4.4,1.5,73.6,399.4,5.4,10.4,7.6,1.8,19.8,8.3,82.5,0.2,0.9,1.1,BIG-12,2014
Oklahoma State,13,31.2,21.2,34.8,60.7,269.2,1.8,39.8,162.8,4.1,1.8,74.6,432,5.8,11.2,9,1.8,22,6.8,62.7,0.2,0.9,1.1,BIG-12,2014
Kansas,12,33.3,19.4,33.3,58.4,243.5,1.8,38.8,209.7,5.4,1.8,72.1,453.2,6.3,10.3,9.7,2,21.9,5.9,50.8,1,0.8,1.8,BIG-12,2014
Iowa State,12,38.8,23.3,37.6,62.1,282.7,1.7,43.3,246,5.7,2.9,80.9,528.7,6.5,12.5,13,1.8,27.3,6.6,55,0.5,0.8,1.3,BIG-12,2014
Texas Tech,12,41.3,19,32.2,59.1,253.2,2.3,49.9,260.3,5.2,3,82.1,513.4,6.3,10.8,13.7,2.6,27.1,5.8,53.8,0.8,0.5,1.3,BIG-12,2014
Penn State,13,18.6,16.5,31.2,53,178.2,0.8,34.1,100.5,2.9,1.1,65.3,278.7,4.3,7.4,6.1,1.2,14.6,6.9,60.6,0.4,1.2,1.6,BIG-TEN,2014
Wisconsin,14,20.8,12.1,24.8,49,168,1.1,35.1,126.1,3.6,1.4,59.9,294.1,4.9,6.6,6.6,1.4,14.7,5.9,46.1,0.8,0.4,1.2,BIG-TEN,2014
Michigan State,13,21.5,18,34.2,52.7,227.3,1.3,27.9,88.5,3.2,1.4,62.1,315.8,5.1,8.6,5.2,1.5,15.3,5.6,44.7,1.2,1.4,2.6,BIG-TEN,2014
Ohio State,15,22,18.4,33,55.8,201.1,1.1,35.8,141.3,3.9,1.6,68.8,342.4,5,9,8,1.9,18.9,5.3,45.7,0.5,1.7,2.2,BIG-TEN,2014
