School,G,Pts,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotYds,TotAvgYds,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenaltyYds,Fum,Int,TotTO,Conference,Year
Georgia Tech,12,33.5,18.3,27.9,65.4,273,2.3,40.7,183.1,4.5,1.6,68.6,456.1,6.7,11,9.7,1.7,22.3,5.6,51.8,0.8,0.3,1.1,ACC,2021
Duke,12,39.8,20.1,33.7,59.7,311.8,2.7,38.8,206.7,5.3,2.2,72.5,518.4,7.2,12.9,9.5,2,24.4,6.4,53.6,0.5,0.7,1.2,ACC,2021
Oklahoma State,14,18.1,18.7,32.6,57.5,210.2,1.2,32.4,87.6,2.7,0.6,64.9,297.9,4.6,9,4.9,1.9,15.8,6.6,51.9,0.8,0.6,1.4,BIG-12,2021
Baylor,14,18.3,19,31.6,60,227.5,0.9,35.2,120.5,3.4,1.1,66.9,348,5.2,10.1,7.1,2.1,19.3,5.1,44.8,0.6,1.4,1.9,BIG-12,2021
Iowa State,13,20.5,16.4,26.8,61,187.8,1.5,34.4,122.9,3.6,0.8,61.2,310.7,5.1,8.2,7.4,1,16.6,5.2,47.8,0.3,0.8,1.2,BIG-12,2021
Kansas State,13,21,19.8,29,68.4,215.2,1.2,35.1,129.9,3.7,1.1,64.1,345.2,5.4,9.6,7.2,1.2,18,5.3,43.5,0.5,0.8,1.3,BIG-12,2021
West Virginia,13,23.8,18.2,28.3,64.1,211.5,1.3,34.5,139.1,4,1.2,62.8,350.6,5.6,8.7,7.5,1.2,17.4,4.4,36.2,0.3,0.7,1,BIG-12,2021
Oklahoma,13,25.8,22.5,34.2,65.8,261.8,2,33.6,129.8,3.9,1.2,67.8,391.5,5.8,11.7,7.8,1.6,21.1,6.3,51.5,1,0.8,1.8,BIG-12,2021
Texas Tech,13,30.2,23.1,35,65.9,267.5,2.2,34.2,137.4,4,1.4,69.2,404.8,5.9,12.2,7.5,1.5,21.2,6,50.8,0.4,0.8,1.2,BIG-12,2021
Texas,12,31.1,21.3,31.3,67.8,224,1.3,38.8,202.4,5.2,2.2,70.1,426.4,6.1,10.6,9.8,1.4,21.8,4.4,36.8,0.5,0.6,1.1,BIG-12,2021
TCU,12,34.9,16.5,25.7,64.3,239.8,1.7,37.9,222.3,5.9,2.8,63.6,462,7.3,9.8,10.5,1.8,22,4.3,39.4,0.3,0.8,1.2,BIG-12,2021
Kansas,12,42.2,18.4,26.2,70.4,236.8,2.3,41.1,250.6,6.1,3.3,67.3,487.4,7.2,10.2,12.7,1.2,24,5.5,46.6,0.8,0.6,1.3,BIG-12,2021
Wisconsin,13,16.2,14.8,26.8,55.5,174.3,0.7,30.5,65.4,2.1,0.8,57.2,239.7,4.2,7.5,4.2,1.4,13,4.6,40.5,0.6,1.2,1.8,BIG-TEN,2021
Minnesota,13,17.3,15.8,28.4,55.6,181.2,1.2,28.8,97.8,3.4,0.8,57.2,279,4.9,7.8,6.4,1.4,15.5,4.6,43.8,0.6,0.6,1.2,BIG-TEN,2021
Penn State,13,17.3,20.2,33.7,59.8,199.8,0.8,40.1,153.2,3.8,0.9,73.8,353,4.8,9.3,9.5,2.2,20.9,5.5,43.8,0.5,1.1,1.6,BIG-TEN,2021
Michigan,14,17.4,18.4,32.5,56.7,204.4,1.2,34.6,126,3.6,0.8,67.1,330.4,4.9,9.1,6.9,1.1,17.1,5.2,46.4,0.6,0.6,1.1,BIG-TEN,2021
Iowa,14,19.2,18.7,33.4,56,214.5,1.1,36.1,114.6,3.2,1.1,69.6,329.1,4.7,9.6,6.9,1.4,17.9,6.1,51.4,0.4,1.8,2.2,BIG-TEN,2021
Illinois,12,21.9,17.8,30.3,58.7,215.2,1,39.6,151.4,3.8,1.3,69.8,366.6,5.2,9.9,9.8,1.4,21.1,4.9,49,0.7,0.8,1.4,BIG-TEN,2021
Purdue,13,22.4,17.1,28.8,59.4,208.7,1.4,36.5,159.4,4.4,1.4,65.3,368.1,5.6,8.5,8.3,1.6,18.4,5.9,53.8,0.3,1,1.3,BIG-TEN,2021
Nebraska,12,22.7,21.8,33.7,64.6,219.1,1.2,34.9,147.4,4.2,1,68.6,366.5,5.3,10.3,7.6,1.3,19.2,5.1,46,0.3,0.8,1.1,BIG-TEN,2021
Ohio State,13,22.8,21.8,35.5,61.6,246.2,1.6,34.5,127.8,3.7,1.3,69.9,374,5.3,11.6,7.5,2.2,21.3,4.4,38.2,0.6,0.9,1.5,BIG-TEN,2021
Michigan State,13,25.3,29.2,44.5,65.6,324.8,2.1,34.3,117.2,3.4,0.8,78.8,441.9,5.6,14.8,7.8,1.9,24.5,5.8,46.3,0.8,0.8,1.5,BIG-TEN,2021
Rutgers,13,25.6,15.8,28.3,56,234.9,1.9,38.1,163.2,4.3,1.2,66.4,398.1,6,8.9,8.6,1.9,19.5,5.4,47.4,0.7,0.5,1.2,BIG-TEN,2021
Northwestern,12,29,20.1,29.9,67.1,216.5,0.9,39.8,213.9,5.4,2.6,69.7,430.4,6.2,10.3,10,1.2,21.4,6,51.2,0.8,0.5,1.3,BIG-TEN,2021
Maryland,13,30.7,18.5,31.5,58.8,249.5,1.7,38.4,155.1,4,1.8,69.9,404.5,5.8,9.9,8.7,2.3,20.9,5.6,47.2,0.4,0.5,0.8,BIG-TEN,2021
Indiana,12,33.3,20,32.1,62.3,235.7,2,35.8,148.7,4.2,1.9,67.8,384.3,5.7,11.1,8.5,1.4,21,6.6,54.8,0.3,0.4,0.8,BIG-TEN,2021
Georgia,15,10.2,19,33.8,56.2,189.7,0.7,30.9,78.9,2.6,0.2,64.7,268.5,4.2,7.9,5.4,1.5,14.8,6.6,51.3,0.3,1.1,1.4,SEC,2021
Texas A&M,12,15.9,19.3,33.4,57.9,192.7,1.1,36.7,135.9,3.7,0.5,70.1,328.6,4.7,9,8.2,1.8,19,5.9,46.9,0.4,0.8,1.3,SEC,2021
Alabama,15,20.1,19.8,31.4,63.1,218.1,1.7,32.3,84.9,2.6,0.6,63.7,302.9,4.8,9.3,5.7,2.6,17.7,6.8,49.4,0.3,1,1.3,SEC,2021
Kentucky,13,21.7,20.6,31,66.5,218.6,1.5,30.8,122.2,4,0.9,61.8,340.8,5.5,10.6,6.3,1.7,18.6,5.9,45.6,0.2,0.7,0.9,SEC,2021
Auburn,13,21.8,22.2,34.6,64.2,245.6,1.8,35.5,129.3,3.6,0.6,70.2,374.9,5.3,11.8,6.7,1.6,20.2,5.3,43.9,0.2,0.7,0.9,SEC,2021
Arkansas,13,22.9,17.4,29.8,58.4,213.8,1.2,38.2,153.9,4,1.3,67.9,367.7,5.4,9.1,7.9,2.2,19.2,6.5,47.4,0.3,1,1.3,SEC,2021
South Carolina,13,24,15.1,25.9,58.2,180.8,1.2,37.3,175,4.7,1.4,63.2,355.8,5.6,7.9,9.5,1.1,18.5,4.6,42.6,0.7,1.2,1.8,SEC,2021
Ole Miss,13,24.7,20.7,33.9,61,230,1.1,42.2,190.4,4.5,1.9,76.2,420.4,5.5,11,11.1,2.8,24.9,6.4,53.5,0.8,0.8,1.6,SEC,2021
