School,W,L,OSRS,DSRS,SRS,OffPts,DefPts,PassOff,PassDef,RushOff,RushDef,TotOff,TotDef,Conference,Year
Florida,10,4,-0.6,10.26,9.65,44.24,1.59,9.53,4.28,5.03,2.12,6.91,3.17,SEC,2015
Texas A&M,8,5,2.21,7.19,9.4,46.44,4.31,8.86,4,5.88,3.61,7.14,3.83,SEC,2015
Georgia,10,3,0.64,8.35,8.98,45.93,3.29,9.45,4.67,6.6,2.84,7.72,3.71,SEC,2015
Auburn,7,6,2.89,4.27,7.16,45.9,6.73,9.37,4.12,5.74,3.04,6.91,3.63,SEC,2015
Missouri,5,7,-10.79,10.99,0.2,32.26,0.03,7.24,3.82,4.73,2.14,5.81,2.91,SEC,2015
South Carolina,3,9,-0.43,-1.75,-2.18,42.26,12.31,9.42,5.78,5.72,3.88,7.32,4.74,SEC,2015
Vanderbilt,4,8,-9.45,7.18,-2.27,34.3,3.43,7.49,4.48,5.07,2.86,6.01,3.68,SEC,2015
Kentucky,5,7,-1.52,-2.57,-4.09,43.03,14.89,8.4,5.55,5.97,3.63,7.08,4.48,SEC,2015
Washington,12,2,7.59,12.39,19.98,56.98,0.69,10.71,4.1,6.5,2.2,8.15,3.19,PAC-12,2016
USC,10,3,7.71,9.56,17.27,52.37,4.42,10.11,4.59,6.88,2.47,8.22,3.66,PAC-12,2016
Stanford,10,3,0.01,12.54,12.54,42.7,1.09,8.71,4.72,6.53,2.61,7.26,3.69,PAC-12,2016
Colorado,10,4,2.32,9.86,12.18,48.18,3.08,9.51,3.66,5.44,2.62,7.04,3.23,PAC-12,2016
Washington State,8,5,5.7,3.33,9.03,52.9,9.91,9.11,6.09,5.6,2.89,7.54,4.67,PAC-12,2016
Utah,9,4,3.31,5.35,8.65,44.06,7.4,8.96,5.3,6.07,2.67,7.15,4.17,PAC-12,2016
UCLA,4,8,-0.86,3.49,2.63,41.62,9.27,9.15,4.16,4.28,2.39,6.86,3.31,PAC-12,2016
California,5,7,12.42,-10,2.42,54.8,24.71,8.98,5.5,5.97,4.67,7.52,5.1,PAC-12,2016
Oregon State,4,8,0.5,1.02,1.53,42.84,13.14,8.05,4.37,6.65,4,7.09,4.24,PAC-12,2016
Oregon,4,8,11.12,-10.42,0.7,52.81,24.36,9.96,5.64,6.8,4.44,8.02,5.06,PAC-12,2016
Arizona State,5,7,5.89,-8.49,-2.6,47.78,21.22,9.21,6.89,4.55,3.78,6.58,5.53,PAC-12,2016
Arizona,3,9,1.01,-5.64,-4.63,43,22.36,9,6.09,7.04,3.47,7.62,4.74,PAC-12,2016
Clemson,14,1,9.4,10.68,20.08,59.54,-0.13,10.18,3.54,6.35,2.1,8.07,3.09,ACC,2016
Florida State,10,3,9.49,5.52,15.01,54.26,6.02,10.36,5.07,6.9,2.19,8.28,3.64,ACC,2016
Miami (FL),9,4,3.39,9.96,13.36,50.75,2.68,10.02,4.12,6.05,1.93,7.86,3.2,ACC,2016
Louisville,9,4,8.81,3.06,11.87,60.74,9.1,10.44,5.06,7.89,1.89,8.82,3.46,ACC,2016
Virginia Tech,10,4,4.26,6.74,11,50.43,5.47,9.85,4.22,5.39,2.4,7.06,3.38,ACC,2016
North Carolina,8,5,6.18,2.07,8.25,49.06,10.6,10.06,5.33,6.32,3.12,8.12,4.02,ACC,2016
Pitt,8,5,15.3,-7.17,8.12,58.54,18.39,10.67,5.64,6.88,2.42,8.16,4.46,ACC,2016
North Carolina State,7,6,0.69,6.81,7.49,44.21,5.76,9.66,4.82,5.68,1.96,7.36,3.58,ACC,2016
Georgia Tech,9,4,3.28,3.85,7.13,45.62,8.85,12.48,5.14,7.13,3.46,8.1,4.45,ACC,2016
Wake Forest,7,6,-4.32,5.04,0.73,37.75,6.93,7.9,5.41,5.32,2.53,6.16,4.04,ACC,2016
Boston College,7,6,-7,7.58,0.58,36.48,10.89,8.03,5.06,4.92,2.07,5.84,3.7,ACC,2016
Duke,4,8,-3.03,1.67,-1.36,40.99,10.97,8.45,6.81,5.62,2.93,6.76,4.76,ACC,2016
Syracuse,4,8,0.08,-4.59,-4.51,43.26,20.37,9.44,6.86,5.13,3.97,7.19,5.4,ACC,2016
Virginia,2,10,-4.34,-3.91,-8.25,38.32,17.63,7.68,6.32,5.07,3.27,6.3,4.78,ACC,2016
Oklahoma,11,2,14.64,0.34,14.98,61.69,10.26,12.86,5.18,6.73,3.3,9.16,4.33,BIG-12,2016
Oklahoma State,10,3,8.39,2.77,11.16,53.5,8.84,10.96,5.5,5.7,3.46,8.15,4.35,BIG-12,2016
West Virginia,10,3,4.01,5.56,9.57,46.83,5.94,10,4.91,6.37,3.05,7.84,3.94,BIG-12,2016
Kansas State,9,4,1.7,6.39,8.09,46.96,5.05,8.25,5.42,6.32,2.49,7.07,4.15,BIG-12,2016
Baylor,7,6,2.67,0.34,3.01,48.69,12.57,9.17,5.16,5.99,3.15,7.32,3.88,BIG-12,2016
Texas Christian,6,7,1.88,0.74,2.63,45.88,10.74,8.7,5.06,6.19,3.15,7.37,3.94,BIG-12,2016
