School,G,Pts,PassCmp,PassAtt,CompPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,TotPlays,TotYds,TotAvg,Pass1D,Rush1D,Pen1D,Tot1D,Penalties,PenYds,OffFum,OffInt,TotTO,Conference,Year
Oklahoma,12,43.2,23.7,34,69.6,321.8,2.7,40.6,180.6,4.4,2.6,74.6,502.4,6.7,13.5,10,2.3,25.8,6.7,57,0.7,0.5,1.2,BIG-12,2023
Kansas State,12,37.8,20.3,32.9,61.8,246.4,2.3,41.1,199.7,4.9,2.5,74,446.1,6,11.4,10.8,1.8,24,4.8,42.8,0.2,0.8,1,BIG-12,2023
Texas,13,36.2,22.5,33.2,67.8,286.8,1.8,38.4,189.1,4.9,2,71.6,475.9,6.6,12.8,9.2,1,23.1,6.3,51.2,0.5,0.7,1.2,BIG-12,2023
Kansas,12,33.6,15.1,23.6,64,222.7,1.5,38.3,211.3,5.5,2.6,61.9,434,7,10.1,9.6,1.8,21.4,4.6,43.7,0.5,0.7,1.2,BIG-12,2023
UCF,12,32.5,17.7,27.8,63.7,259.1,1.8,41.3,233.2,5.7,2.3,69,492.3,7.1,10.1,11.7,1.7,23.4,6,49.8,0.5,0.8,1.3,BIG-12,2023
West Virginia,12,31.6,13.8,25.7,53.9,203.8,1.4,44.6,234.3,5.3,2.6,70.3,438.2,6.2,7.9,12.7,2.3,22.8,4.8,44.3,0.5,0.6,1.1,BIG-12,2023
TCU,12,31.3,26.6,41.9,63.4,312.2,2.3,33.8,154.5,4.6,1.6,75.8,466.7,6.2,15,9,1.1,25.1,6.2,53.6,0.3,1.3,1.6,BIG-12,2023
Oklahoma State,13,29.5,23.8,40,59.4,264.2,1.2,32.3,156.9,4.9,2.1,72.3,421.2,5.8,12.7,7,1.4,21.1,5,40.8,0.4,1.1,1.5,BIG-12,2023
Texas Tech,12,26.8,21.4,35.5,60.3,221.1,1.8,36.4,165.8,4.6,1.3,71.9,386.9,5.4,10.3,9.9,1.7,21.8,5.6,52.8,0.3,1.4,1.8,BIG-12,2023
Iowa State,12,26.3,18.3,28.4,64.2,228.3,1.7,30.2,129.9,4.3,1.3,58.6,358.2,6.1,9.6,5.5,1,16.1,5,45.8,0.3,0.7,0.9,BIG-12,2023
Cincinnati,12,24.1,18.2,30,60.6,209,1.8,43.1,217.1,5,1.2,73.1,426.1,5.8,9.8,11.5,0.9,22.3,5.7,52.6,0.5,0.9,1.4,BIG-12,2023
Houston,12,23.7,21.8,34,64,241.5,2,29.9,118.7,4,0.8,63.9,360.2,5.6,10.7,7,1.5,19.2,5.7,49.2,0.2,1.1,1.3,BIG-12,2023
Baylor,12,23.1,21.9,36.8,59.5,263,1.3,34.4,114.8,3.3,1.1,71.3,377.8,5.3,11.6,7.3,1,19.8,4.1,28.9,0.7,0.6,1.3,BIG-12,2023
Brigham Young,12,23.1,18.3,33,55.6,205.4,1.4,30,104.3,3.5,1.3,63,309.8,4.9,9.4,5.8,1.5,16.8,5.3,43,0.8,0.8,1.6,BIG-12,2023
Penn State,12,37.2,18.8,31.1,60.6,204.3,2.3,40.6,186.7,4.6,2.2,71.7,391,5.5,10.1,10.7,1.8,22.6,4.9,42.8,0.4,0.1,0.5,BIG-TEN,2023
Michigan,13,36.7,17.9,24.2,74,218.8,1.6,37.9,161.8,4.3,2.7,62.2,380.5,6.1,11,8.2,1.4,20.5,2.9,26.3,0.2,0.4,0.5,BIG-TEN,2023
Ohio State,12,32.8,20.4,31.3,65.2,282.7,2.2,33.2,142.3,4.3,1.7,64.5,425,6.6,13,7.1,1.8,21.9,5.5,43.5,0.4,0.6,1,BIG-TEN,2023
Maryland,12,29.6,24.8,37.6,65.9,284.8,2.1,29.1,108.9,3.7,1.6,66.7,393.8,5.9,12.4,7.2,1.9,21.5,5.4,54.6,0.7,1,1.7,BIG-TEN,2023
Illinois,12,24.5,21.8,34.6,62.9,264.6,1.9,33,126.4,3.8,1,67.6,391,5.8,12.3,6.4,1.7,20.4,6.6,62.4,0.8,1.1,1.9,BIG-TEN,2023
Purdue,12,23.9,19.5,32.7,59.7,211.2,1.3,38.5,169.1,4.4,1.7,71.2,380.3,5.3,9.8,8.9,1.8,20.5,6,56.3,0.7,0.8,1.5,BIG-TEN,2023
Northwestern,12,22.8,18.1,29.2,62,200.1,1.5,35.6,105,3,1.2,64.8,305.1,4.7,8.7,6.7,1.5,16.8,5.4,43.7,0.1,0.7,0.8,BIG-TEN,2023
Wisconsin,12,22.8,21.2,35.8,59.2,207,0.9,35,163.8,4.7,1.8,70.8,370.8,5.2,9.9,8.8,1.2,19.9,5.5,47.9,0.9,0.4,1.3,BIG-TEN,2023
Rutgers,12,22.6,11.3,23.3,48.4,142,0.8,39.3,165.4,4.2,1.8,62.6,307.4,4.9,6.7,9.6,1.3,17.5,5,44.1,0.4,0.7,1.1,BIG-TEN,2023
Indiana,12,22.2,17.9,30.6,58.6,212.8,1.5,36.1,120.1,3.3,1.1,66.7,332.8,5,10.2,7.4,2.2,19.8,5.4,50.6,0.7,0.8,1.5,BIG-TEN,2023
Minnesota,12,20.2,13,24.7,52.7,153.2,1.2,38.4,149.4,3.9,0.9,63.1,302.6,4.8,7.3,9,1.8,18.2,3,28.7,0.5,0.8,1.3,BIG-TEN,2023
Nebraska,12,18,11.3,21.8,52.1,135.9,0.8,39.8,176.8,4.4,1.3,61.6,312.8,5.1,5.5,9.5,1.5,16.5,5.1,42.8,1.3,1.3,2.6,BIG-TEN,2023
Iowa,13,16.6,12.4,24.8,49.8,123.2,0.7,34.6,115.7,3.3,0.8,59.5,238.8,4,5.6,5.7,1.8,13.1,3.5,30.2,0.8,0.7,1.5,BIG-TEN,2023
Michigan State,12,15.9,18.4,31.6,58.3,199.8,1.2,30.8,89.5,2.9,0.6,62.4,289.3,4.6,8.6,6.2,1.8,16.6,7,60.7,0.8,1.1,1.8,BIG-TEN,2023
LSU,12,46.4,21.3,30.5,69.7,334.3,3.4,33.8,213.5,6.3,2.7,64.3,547.8,8.5,13.7,10.1,2.1,25.8,6.2,52.3,0.3,0.3,0.6,SEC,2023
Georgia,13,38.4,23.7,32.9,72,305.6,1.9,34.9,177.3,5.1,2.7,67.8,482.9,7.1,13.8,9.8,1.5,25.2,4.4,42.4,0.5,0.5,1.1,SEC,2023
Alabama,13,35.1,14.8,23.2,63.6,228.5,1.8,39.8,172.7,4.3,2.3,63.1,401.2,6.4,9.2,9.6,1.4,20.2,5.8,49.2,0.3,0.5,0.8,SEC,2023
Ole Miss,12,34.8,19.2,29.4,65.2,276.6,1.9,40.7,178.8,4.4,2.3,70.1,455.4,6.5,11.3,10.2,1.5,22.9,7.4,61.8,0.1,0.5,0.6,SEC,2023
Texas A&M,12,34.2,21.1,32.6,64.7,262.3,2,35.9,141.4,3.9,1.8,68.5,403.8,5.9,11.4,8.8,2.2,22.4,6.3,47.6,0.3,0.8,1.1,SEC,2023
Missouri,12,34.1,19.8,30,65.8,273.5,1.8,36.9,169.4,4.6,2,66.9,442.9,6.6,11.3,9.2,1.7,22.1,7.2,55.8,0.2,0.6,0.8,SEC,2023
Tennessee,12,31.5,20.8,32.5,64.1,250.9,1.8,36.3,202.6,5.6,1.7,68.8,453.5,6.6,10.7,10.3,0.7,21.6,8.2,71.1,0.6,0.4,1,SEC,2023
Kentucky,12,28.6,16.3,28.9,56.2,203.8,1.9,26.3,130.8,5,1.3,55.3,334.6,6.1,9.5,5.9,2,17.4,6.3,51.3,0.5,0.8,1.3,SEC,2023
Florida,12,28.4,23.5,32.5,72.3,259.3,1.7,35.1,149.8,4.3,1.8,67.6,409.1,6.1,11.9,8.1,1.7,21.7,6.6,49.6,0.6,0.4,1,SEC,2023
Auburn,12,27.3,14,22.9,61.1,157.1,1.4,39.8,198.4,5,1.8,62.8,355.5,5.7,6.3,10.6,1.5,18.4,5.6,44.5,0.4,0.9,1.3,SEC,2023
Arkansas,12,26.6,17.3,26.9,64.1,187.5,1.8,39.3,139,3.5,0.8,66.3,326.5,4.9,8.1,7.9,1.3,17.3,6.3,55.4,0.8,0.7,1.5,SEC,2023
South Carolina,12,26,23.6,34.3,68.7,278,1.8,30.8,85.1,2.8,1.4,65.1,363.1,5.6,11.6,5.2,1.3,18.1,7.2,55.5,0.4,0.7,1.1,SEC,2023
Vanderbilt,12,22.8,18.1,32.5,55.6,223.7,1.9,29.1,95.3,3.3,0.8,61.6,318.9,5.2,9,5.8,2.3,17,4.9,42.5,0.6,1,1.6,SEC,2023
Mississippi State,12,21.8,16.8,29,57.8,181.8,1.3,33.4,146.8,4.4,1,62.4,328.6,5.3,8.8,6.6,1.2,16.6,6.3,56.8,0.3,0.8,1.2,SEC,2023
